,date,num,start,end
195,2022-04-01 00:00:00,2,11:50:00,12:35:00
196,2022-04-05 00:00:00,1,09:45:00,10:20:00
197,2022-04-05 00:00:00,2,11:40:00,12:40:00
198,2022-04-06 00:00:00,1,08:50:00,09:20:00
199,2022-04-06 00:00:00,2,09:45:00,10:10:00
200,2022-04-06 00:00:00,3,10:30:00,11:00:00
201,2022-04-06 00:00:00,4,11:30:00,12:05:00
202,2022-04-06 00:00:00,5,13:40:00,15:00:00
203,2022-04-07 00:00:00,1,09:10:00,09:35:00
204,2022-04-07 00:00:00,2,11:15:00,12:40:00
205,2022-04-07 00:00:00,3,12:55:00,15:00:00
206,2022-04-08 00:00:00,1,08:35:00,09:15:00
207,2022-04-08 00:00:00,2,10:00:00,10:40:00
208,2022-04-08 00:00:00,3,11:05:00,13:25:00
209,2022-04-11 00:00:00,1,12:00:00,12:45:00
210,2022-04-11 00:00:00,2,13:45:00,15:00:00
211,2022-04-12 00:00:00,1,10:00:00,10:45:00
212,2022-04-12 00:00:00,2,11:50:00,12:20:00
213,2022-04-12 00:00:00,3,12:50:00,13:15:00
214,2022-04-13 00:00:00,1,09:45:00,13:30:00
215,2022-04-14 00:00:00,1,10:50:00,13:00:00
216,2022-04-19 00:00:00,1,12:15:00,12:40:00
217,2022-04-20 00:00:00,1,11:05:00,12:15:00
218,2022-04-21 00:00:00,1,10:45:00,11:15:00
219,2022-04-21 00:00:00,2,11:50:00,12:15:00
220,2022-04-21 00:00:00,3,12:40:00,13:05:00
221,2022-04-27 00:00:00,1,11:20:00,13:05:00
222,2022-04-29 00:00:00,1,11:30:00,11:55:00
223,2022-05-02 00:00:00,1,10:05:00,12:15:00
224,2022-05-03 00:00:00,1,11:35:00,12:00:00
225,2022-05-04 00:00:00,1,10:50:00,12:05:00
226,2022-05-06 00:00:00,1,11:15:00,12:05:00
227,2022-05-06 00:00:00,2,12:25:00,12:50:00
228,2022-05-06 00:00:00,3,13:15:00,15:00:00
229,2022-05-09 00:00:00,1,10:15:00,11:25:00
230,2022-05-09 00:00:00,2,12:10:00,12:35:00
231,2022-05-11 00:00:00,1,10:10:00,12:15:00
232,2022-05-12 00:00:00,1,10:40:00,11:20:00
233,2022-05-12 00:00:00,2,12:25:00,13:45:00
234,2022-05-13 00:00:00,1,08:50:00,12:50:00
235,2022-05-16 00:00:00,1,10:10:00,10:30:00
236,2022-05-16 00:00:00,2,10:35:00,11:00:00
237,2022-05-16 00:00:00,3,11:40:00,12:05:00
238,2022-05-16 00:00:00,4,12:25:00,12:50:00
239,2022-05-19 00:00:00,1,09:45:00,11:10:00
240,2022-05-19 00:00:00,2,11:45:00,14:05:00
241,2022-05-20 00:00:00,1,10:05:00,10:30:00
242,2022-05-20 00:00:00,2,12:25:00,13:00:00
243,2022-05-24 00:00:00,1,10:40:00,13:35:00
244,2022-05-31 00:00:00,1,10:10:00,12:00:00
245,2022-06-08 00:00:00,1,12:35:00,13:10:00
246,2022-06-09 00:00:00,1,11:30:00,12:50:00
247,2022-06-10 00:00:00,1,10:50:00,12:15:00
248,2022-06-13 00:00:00,1,10:40:00,11:50:00
249,2022-06-17 00:00:00,1,10:00:00,10:45:00
250,2022-06-17 00:00:00,2,11:50:00,12:30:00
251,2022-06-17 00:00:00,3,13:05:00,13:30:00
252,2022-06-21 00:00:00,1,10:45:00,11:40:00
253,2022-06-21 00:00:00,2,11:45:00,12:15:00
254,2022-06-22 00:00:00,1,08:30:00,11:50:00
255,2022-06-22 00:00:00,2,12:15:00,12:50:00
256,2022-06-23 00:00:00,1,11:43:00,12:15:00
257,2022-06-28 00:00:00,1,09:35:00,10:20:00
258,2022-06-28 00:00:00,2,11:00:00,12:05:00
259,2022-06-28 00:00:00,3,12:40:00,13:10:00
260,2022-06-29 00:00:00,1,11:35:00,11:50:00
261,2022-06-29 00:00:00,2,12:15:00,13:20:00
262,2022-07-01 00:00:00,1,10:00:00,10:30:00
263,2022-07-01 00:00:00,2,10:45:00,11:35:00
264,2022-07-01 00:00:00,3,11:45:00,12:45:00
265,2022-07-05 00:00:00,1,13:00:00,13:30:00
266,2022-07-07 00:00:00,1,10:10:00,10:35:00
267,2022-07-07 00:00:00,2,11:40:00,12:20:00
268,2022-07-11 00:00:00,1,10:00:00,10:30:00
269,2022-07-11 00:00:00,2,11:15:00,12:25:00
270,2022-07-13 00:00:00,1,11:15:00,13:00:00
271,2022-07-14 00:00:00,1,11:55:00,12:20:00
272,2022-07-19 00:00:00,1,10:35:00,13:00:00
273,2022-07-20 00:00:00,1,10:45:00,11:15:00
274,2022-07-21 00:00:00,1,10:15:00,11:05:00
275,2022-07-21 00:00:00,2,12:05:00,12:50:00
276,2022-07-26 00:00:00,1,10:55:00,11:50:00
277,2022-07-26 00:00:00,2,13:00:00,13:15:00
278,2022-07-27 00:00:00,1,12:00:00,13:20:00
279,2022-07-28 00:00:00,1,10:00:00,10:30:00
280,2022-07-29 00:00:00,1,11:45:00,12:45:00
281,2022-08-01 00:00:00,1,10:45:00,11:25:00
282,2022-08-02 00:00:00,1,10:10:00,12:10:00
283,2022-08-04 00:00:00,1,10:50:00,12:35:00
284,2022-08-04 00:00:00,2,12:40:00,13:15:00
285,2022-08-09 00:00:00,1,11:50:00,13:15:00
286,2022-08-10 00:00:00,1,09:50:00,13:10:00
287,2022-08-11 00:00:00,1,10:50:00,11:35:00
288,2022-08-11 00:00:00,2,12:05:00,13:00:00
289,2022-08-12 00:00:00,1,10:05:00,11:35:00
290,2022-08-18 00:00:00,1,11:35:00,12:45:00
291,2022-08-19 00:00:00,1,10:10:00,11:05:00
292,2022-08-19 00:00:00,2,11:25:00,11:55:00
293,2022-08-22 00:00:00,1,10:55:00,11:20:00
294,2022-08-22 00:00:00,2,12:35:00,13:30:00
295,2022-08-23 00:00:00,1,11:15:00,13:00:00
296,2022-08-24 00:00:00,1,10:50:00,11:30:00
297,2022-08-24 00:00:00,2,11:55:00,12:15:00
298,2022-08-24 00:00:00,3,12:50:00,13:25:00
299,2022-08-26 00:00:00,1,10:50:00,11:30:00
300,2022-08-29 00:00:00,1,11:10:00,13:20:00
301,2022-09-02 00:00:00,1,10:10:00,11:10:00
302,2022-09-06 00:00:00,1,10:25:00,11:05:00
303,2022-09-07 00:00:00,1,11:55:00,12:20:00
304,2022-09-08 00:00:00,1,10:10:00,10:35:00
305,2022-09-08 00:00:00,2,11:15:00,12:20:00
306,2022-09-08 00:00:00,3,12:45:00,13:15:00
307,2022-09-09 00:00:00,1,10:00:00,11:40:00
308,2022-09-12 00:00:00,1,10:20:00,11:05:00
309,2022-09-13 00:00:00,1,10:00:00,10:30:00
310,2022-09-13 00:00:00,2,12:30:00,13:10:00
311,2022-09-14 00:00:00,1,10:50:00,11:50:00
312,2022-09-14 00:00:00,2,12:05:00,12:45:00
313,2022-09-15 00:00:00,1,10:00:00,10:35:00
314,2022-09-15 00:00:00,2,11:10:00,12:10:00
315,2022-09-19 00:00:00,1,08:30:00,14:00:00
316,2022-09-20 00:00:00,1,11:30:00,12:05:00
